MetricID,Group,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,Filter7,Date,Financial Year,Value
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-03-28,2021/22,9270.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-04-04,2022/23,8771.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-04-11,2022/23,8315.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-04-18,2022/23,8267.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-04-25,2022/23,8455.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-05-02,2022/23,8712.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-05-09,2022/23,9248.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-05-16,2022/23,9387.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-05-23,2022/23,9121.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-05-30,2022/23,8517.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-06-06,2022/23,9063.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-06-13,2022/23,9078.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-06-20,2022/23,9442.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-06-27,2022/23,9086.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-07-04,2022/23,8818.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-07-11,2022/23,9120.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-07-18,2022/23,8473.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-07-25,2022/23,8079.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-08-01,2022/23,8030.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-08-08,2022/23,7790.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-08-15,2022/23,7825.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-08-22,2022/23,7622.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-08-29,2022/23,7748.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-09-05,2022/23,7891.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-09-12,2022/23,8589.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-09-19,2022/23,8325.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-09-26,2022/23,8445.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-10-03,2022/23,8923.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-10-10,2022/23,9012.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-10-17,2022/23,8842.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-10-24,2022/23,8613.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-10-31,2022/23,8633.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-11-07,2022/23,9111.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-11-14,2022/23,9653.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-11-21,2022/23,9428.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-11-28,2022/23,9702.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-12-05,2022/23,9942.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-12-12,2022/23,9208.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-12-19,2022/23,8414.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-12-26,2022/23,8328.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-01-02,2022/23,7706.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-01-09,2022/23,7480.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-01-16,2022/23,7424.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-01-23,2022/23,7940.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-01-30,2022/23,8475.000000
EC_Atts_Wk,System,BIRMINGHAM AND SOLIHULL,NULL,NULL,NULL,NULL,NULL,NULL,2023-02-06,2022/23,8522.000000
