SiteID,WeatherSiteName,Elevation,SiteLatitude,SiteLongitude,WindDirection,DewPoint,WindGust,ScreenRelativeHumidity,Pressure,PressureTendency,WindSpeed,Temperature,Visibility,WeatherType,WeatherTypeDescription,DateTime,UDALFileID,UDALYear,UDALMonth,UDALDay
3257,LEEMING,32.0,54.296,-1.530,WNW,10.8,13,94.2,1010,F,7,11.7,6000,12,Light rain,2024-07-14,999581,2024,7,14
3354,WATNALL,117.0,53.005,-1.250,SW,12.3,23,77.1,1008,R,11,16.3,75000,8,Overcast,2024-07-10,982365,2024,7,10
3649,BRIZE NORTON,81.0,51.758,-1.576,WSW,10.8,13,78.3,1015,R,6,14.5,75000,8,Overcast,2024-07-10,982365,2024,7,10
3803,SCILLY ST MARYS,31.0,49.913,-6.301,W,12.8,15,81.7,1019,R,9,15.9,22000,1,Sunny day,2024-07-10,982365,2024,7,10
3916,BALLYPATRICK FOREST,156.0,55.181,-6.153,NW,11.4,11,90.5,1012,R,9,12.9,23000,8,Overcast,2024-07-10,982365,2024,7,10
3068,LOSSIEMOUTH,6.0,57.712,-3.322,NE,10.4,22,89.3,1011,F,13,12.1,4000,12,Light rain,2024-07-10,982365,2024,7,10
3230,REDESDALE CAMP,211.0,55.285,-2.279,N,11.1,16,82.6,1011,R,8,14.0,75000,8,Overcast,2024-07-10,982365,2024,7,10
3761,ODIHAM,118.0,51.238,-0.944,SSW,13.3,21,85.0,1011,R,11,15.8,40000,8,Overcast,2024-07-10,982365,2024,7,10
3134,GLASGOW/BISHOPTON,59.0,55.907,-4.533,NNE,9.0,15,69.0,1013,R,6,14.6,75000,8,Overcast,2024-07-10,982365,2024,7,10
3316,CROSBY,9.0,53.497,-3.056,WSW,13.4,25,88.9,1011,R,21,15.2,30000,8,Overcast,2024-07-10,982365,2024,7,10
3502,ABERPORTH,133.0,52.139,-4.571,WSW,11.7,29,93.6,1011,R,18,12.7,14000,12,Light rain,2024-07-10,982365,2024,7,10
3105,ISLAY AIRPORT,17.0,55.681,-6.256,S,5.1,16,75.3,1012,F,9,9.2,28000,8,Overcast,2023-11-16,661501,2023,11,16
3091,ABERDEEN AIRPORT,65.0,57.206,-2.202,NNW,3.9,28,82.8,1006,R,18,6.6,20000,12,Light rain,2024-03-24,1428180,2024,3,24
3866,ST CATHERINES PT.,16.0,50.577,-1.297,ESE,13.7,14,69.5,1012,R,6,19.4,NULL,NULL,NULL,2023-06-10,1031458,2023,6,10
3809,CULDROSE,78.0,50.085,-5.257,E,13.9,13,94.3,1010,R,9,14.8,4900,5,Mist,2023-06-10,1031458,2023,6,10
3917,BELFAST INTERNATIONAL AIRPORT,63.0,54.664,-6.224,SSE,13.0,16,58.6,1012,R,6,21.4,19000,8,Overcast,2023-06-10,1031458,2023,6,10
3002,BALTASOUND,15.0,60.749,-0.854,SSE,9.6,25,77.5,1020,F,19,13.4,25000,7,Cloudy,2023-06-10,1031458,2023,6,10
3351,ROSTHERNE NO 2,35.0,53.360,-2.381,NW,-3.2,6,84.2,1006,R,5,-1.3,27000,7,Cloudy,2024-11-19,1776539,2024,11,19
3100,TIREE,9.0,56.497,-6.887,ENE,-3.3,23,65.5,1004,R,17,2.5,60000,8,Overcast,2024-11-19,1776539,2024,11,19
3017,KIRKWALL AIRPORT,26.0,58.954,-2.900,NNE,10.4,18,93.5,1012,F,14,11.4,18000,8,Overcast,2024-07-14,999581,2024,7,14
3761,ODIHAM,118.0,51.238,-0.944,SW,10.6,23,97.3,1022,F,14,11.0,7000,12,Light rain,2024-02-18,1385507,2024,2,18
3063,AVIEMORE,228.0,57.206,-3.827,SW,5.7,11,71.3,1020,R,5,10.6,45000,8,Overcast,2024-02-18,1385507,2024,2,18
3827,MOUNT BATTEN,50.0,50.354,-4.121,WNW,8.9,17,92.1,1033,R,10,10.1,12000,8,Overcast,2024-02-18,1385507,2024,2,18
3560,BEDFORD,85.0,52.225,-0.464,W,7.2,17,83.6,1029,R,8,9.8,30000,0,Clear night,2024-02-18,1385507,2024,2,18
3226,WARCOP,227.0,54.572,-2.413,W,9.5,21,71.4,1008,R,8,14.6,60000,8,Overcast,2023-07-12,470288,2023,7,12
3132,WEST FREUGH,11.0,54.859,-4.936,SE,12.0,7,90.6,1010,S,3,13.5,5000,12,Light rain,2024-07-14,999581,2024,7,14
3026,STORNOWAY AIRPORT,15.0,58.214,-6.325,NNW,10.6,19,70.2,1005,R,14,16.0,60000,7,Cloudy,2023-07-12,470288,2023,7,12
3809,CULDROSE,78.0,50.085,-5.257,WSW,13.7,19,83.9,1014,R,14,16.4,45000,8,Overcast,2023-07-12,470288,2023,7,12
3649,BRIZE NORTON,81.0,51.758,-1.576,N,4.7,24,85.8,1004,R,15,6.9,60000,8,Overcast,2023-12-13,1291483,2023,12,13
3212,KESWICK,81.0,54.614,-3.157,W,11.4,18,82.1,1005,R,7,14.4,NULL,8,Overcast,2023-07-12,470288,2023,7,12
3080,ABOYNE,140.0,57.077,-2.836,W,10.6,16,75.4,1001,R,9,14.9,75000,8,Overcast,2023-07-12,470288,2023,7,12
3002,BALTASOUND,15.0,60.749,-0.854,WNW,10.4,8,91.6,1018,F,5,11.7,45000,8,Overcast,2024-07-12,1582697,2024,7,12
3391,CONINGSBY,6.0,53.094,-0.171,NNW,9.1,18,79.6,1016,F,10,12.5,30000,12,Light rain,2024-07-12,1582697,2024,7,12
3214,WALNEY ISLAND,15.0,54.125,-3.257,E,11.7,2,95.5,1019,S,1,12.4,16000,5,Mist,2024-07-12,1582697,2024,7,12
3214,WALNEY ISLAND,15.0,54.125,-3.257,W,10.7,14,72.4,1018,F,9,15.6,75000,8,Overcast,2024-07-12,1582697,2024,7,12
3275,LOFTUS (SAMOS),158.0,54.563,-0.863,N,9.1,23,81.7,1018,F,15,12.1,29000,8,Overcast,2024-07-12,1582697,2024,7,12
3410,LAKE VYRNWY SAWS,360.0,52.757,-3.464,ENE,9.3,10,99.3,1019,F,3,9.4,13000,8,Overcast,2024-07-12,1582697,2024,7,12
3716,ST-ATHAN,49.0,51.405,-3.440,WNW,11.8,16,75.5,1017,F,10,16.1,45000,8,Overcast,2024-07-12,1582697,2024,7,12
3031,LOCH GLASCARNOCH,265.0,57.725,-4.896,WNW,0.3,21,90.3,1009,F,14,1.7,25000,11,Drizzle,2025-03-12,1913227,2025,3,12
3857,ISLE OF PORTLAND,52.0,50.522,-2.454,W,0.4,8,62.2,1002,F,3,7.1,50000,8,Overcast,2025-03-12,1913227,2025,3,12
3026,STORNOWAY AIRPORT,15.0,58.214,-6.325,SW,1.4,11,94.6,988,R,7,2.2,45000,2,Partly cloudy (night),2024-01-01,713260,2024,1,1
3904,CASTLEDERG,49.0,54.707,-7.577,ESE,1.6,10,89.3,994,F,5,3.2,30000,3,Partly cloudy (day),2024-01-01,713260,2024,1,1
3907,MAGILLIGAN,6.0,55.160,-6.949,WSW,3.9,28,88.2,993,R,21,5.7,14000,7,Cloudy,2024-01-01,713260,2024,1,1
3034,AULTBEA,11.0,57.859,-5.636,SSE,3.7,15,89.0,988,R,10,5.4,75000,8,Overcast,2024-01-01,713260,2024,1,1
3034,AULTBEA,11.0,57.859,-5.636,E,-0.4,7,82.4,990,F,5,2.3,50000,0,Clear night,2024-01-01,713260,2024,1,1
99081,NORTH WYKE,177.0,50.767,-3.900,WSW,4.7,21,82.9,1003,R,9,7.4,28000,8,Overcast,2024-01-01,713260,2024,1,1
3803,SCILLY ST MARYS,31.0,49.913,-6.301,SW,11.0,46,96.8,993,F,34,11.5,5000,12,Light rain,2024-01-01,713260,2024,1,1
3405,ABERDARON,95.0,52.789,-4.742,SSW,7.7,44,84.0,991,R,33,10.3,9000,8,Overcast,2023-03-24,327044,2023,3,24
3716,ST-ATHAN,49.0,51.405,-3.440,W,7.1,31,71.5,996,F,18,12.1,18000,7,Cloudy,2023-03-24,327044,2023,3,24
3743,LARKHILL,132.0,51.201,-1.805,SSE,2.4,10,85.0,1013,F,5,4.7,13000,8,Overcast,2025-01-21,1851693,2025,1,21
3354,WATNALL,117.0,53.005,-1.250,SW,2.8,10,96.5,1013,F,7,3.3,3600,5,Mist,2025-01-21,1851693,2025,1,21
3026,STORNOWAY AIRPORT,15.0,58.214,-6.325,SSW,3.5,9,97.9,1005,F,6,3.8,50000,0,Clear night,2025-01-21,1263793,2025,1,21
3316,CROSBY,9.0,53.497,-3.056,SSE,4.6,14,88.7,1011,R,10,6.3,14000,8,Overcast,2025-01-21,1263793,2025,1,21
3105,ISLAY AIRPORT,17.0,55.681,-6.256,SSE,12.8,25,96.1,1010,R,14,13.4,7000,8,Overcast,2025-06-13,1432741,2025,6,13
3240,BOULMER,23.0,55.421,-1.600,NNE,6.0,9,85.8,1030,R,6,8.2,25000,8,Overcast,2023-05-12,383861,2023,5,12
3344,BINGLEY SAMOS,262.0,53.811,-1.865,NNE,8.2,22,94.7,1027,R,11,9.0,19000,8,Overcast,2023-05-12,383861,2023,5,12
3904,CASTLEDERG,49.0,54.707,-7.577,W,7.9,6,99.3,1028,R,2,8.0,20000,8,Overcast,2023-05-12,383861,2023,5,12
3238,ALBEMARLE,146.0,55.020,-1.880,NW,10.9,9,94.8,1010,F,3,11.7,23000,8,Overcast,2024-07-14,999581,2024,7,14
3385,DONNA NOOK,8.0,53.473,0.154,W,12.2,18,96.1,1009,R,9,12.8,5000,11,Drizzle,2024-07-14,999581,2024,7,14
3316,CROSBY,9.0,53.497,-3.056,NNW,11.5,11,67.3,1011,F,7,17.6,45000,8,Overcast,2024-07-14,999581,2024,7,14
3321,HAWARDEN,10.0,53.174,-2.986,NW,10.9,8,76.4,1012,F,5,15.0,75000,8,Overcast,2024-07-14,999581,2024,7,14
3414,SHAWBURY,72.0,52.794,-2.663,SSW,11.4,25,72.1,1009,R,17,16.4,75000,8,Overcast,2024-07-10,982365,2024,7,10
3743,LARKHILL,132.0,51.201,-1.805,WSW,12.6,19,80.1,1012,R,8,16.0,19000,12,Light rain,2024-07-10,982365,2024,7,10
