Conventions,G,BADC-CSV,1,,,,,,,,,,,,,,,,,,
title,G,uk-daily-temperature-obs,,,,,,,,,,,,,,,,,,,
source,G,Met Office MIDAS database,,,,,,,,,,,,,,,,,,,
creator,G,Met Office,,,,,,,,,,,,,,,,,,,
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data,,,,,,,,,,,,,,,,,,,
feature_type,G,point series,,,,,,,,,,,,,,,,,,,
collection_name,G,midas-open,,,,,,,,,,,,,,,,,,,
collection_version_number,G,dataset-version-202407,,,,,,,,,,,,,,,,,,,
history,G,Created 2024-07-24,,,,,,,,,,,,,,,,,,,
last_revised_date,G,24/07/2024,,,,,,,,,,,,,,,,,,,
observation_station,G,nottingham-watnall,,,,,,,,,,,,,,,,,,,
historic_county_name,G,nottinghamshire,,,,,,,,,,,,,,,,,,,
authority,G,Met Office,,,,,,,,,,,,,,,,,,,
midas_station_id,G,556,,,,,,,,,,,,,,,,,,,
location,G,53.006,-1.251,,,,,,,,,,,,,,,,,,
height,G,117,m,,,,,,,,,,,,,,,,,,
date_valid,G,01/01/2023 00:00,31/12/2023 23:59,,,,,,,,,,,,,,,,,,
midas_qc_version_number,G,1,,,,,,,,,,,,,,,,,,,
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1),,,,,,,,,,,,,,,,,,,
comments,G,This file contains station observations,,,,,,,,,,,,,,,,,,,
comments,G,missing values are identified with the missing data flag,,,,,,,,,,,,,,,,,,,
missing_value,G,NA,,,,,,,,,,,,,,,,,,,
coordinate_variable,ob_end_time,t,,,,,,,,,,,,,,,,,,,
long_name,ob_end_time,Date and time at end of observation,s,,,,,,,,,,,,,,,,,,
type,ob_end_time,char,,,,,,,,,,,,,,,,,,,
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period,,,,,,,,,,,,,,,,,,,
comments,ob_end_time,Use ob_end_time in conjunction with ob_hour_count to determine the period over which the observation relates.,,,,,,,,,,,,,,,,,,,
comments,ob_end_time,Common periods include 12 hour observations ending at 0900 or 2100 or 24 hour observations ending at 0900.,,,,,,,,,,,,,,,,,,,
long_name,id_type,identifier type,1,,,,,,,,,,,,,,,,,,
type,id_type,char,,,,,,,,,,,,,,,,,,,
comments,id_type,a station may have more than one id assigned to it defined by id_type,,,,,,,,,,,,,,,,,,,
