ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
01/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,12.8,11.6,9.6,8.6,6,6,6,6,NA,NA,NA,NA,01/01/2022 08:53,0
01/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,14,10.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,01/01/2022 20:54,0
02/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,12,7.8,6.1,5.7,6,6,6,6,NA,NA,NA,NA,02/01/2022 08:53,0
02/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.9,7.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,02/01/2022 20:54,0
03/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,8.7,6.8,5,4.1,6,6,6,6,NA,NA,NA,NA,03/01/2022 08:53,0
03/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10,6.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,03/01/2022 20:54,0
04/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,7.5,1.2,-0.4,1.1,6,6,6,6,NA,NA,NA,NA,04/01/2022 08:55,0
04/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,4.6,1.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,04/01/2022 20:54,0
05/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,3.6,1.5,-0.5,-1.5,6,6,6,6,NA,NA,NA,NA,05/01/2022 08:54,0
05/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,5.9,0.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,05/01/2022 20:56,0
06/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,1,-3.9,-9.5,-6.7,6,6,6,6,NA,NA,NA,NA,06/01/2022 08:53,0
06/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,5.4,-1.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,06/01/2022 20:54,0
07/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.2,1.6,-0.7,-1.4,6,6,6,6,NA,NA,NA,NA,07/01/2022 08:54,0
07/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,4.6,0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,07/01/2022 20:54,0
08/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,6.1,-0.1,-5.6,-2.2,6,6,6,6,NA,NA,NA,NA,08/01/2022 08:54,0
08/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.3,3.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,08/01/2022 20:54,0
09/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,4.1,1.7,0,-0.4,6,6,6,6,NA,NA,NA,NA,09/01/2022 08:53,0
09/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,6.5,1.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,09/01/2022 20:54,0
10/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5,4,1.3,1.7,6,6,6,6,NA,NA,NA,NA,10/01/2022 08:54,0
10/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,7.5,4.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,10/01/2022 20:53,0
11/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,9,7.5,6.3,6.1,6,6,6,6,NA,NA,NA,NA,11/01/2022 08:53,0
11/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,9.2,2.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,11/01/2022 20:55,0
12/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,3.8,0.3,-4.2,-1,6,6,6,6,NA,NA,NA,NA,12/01/2022 08:53,0
12/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,9,0.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,12/01/2022 20:53,0
13/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5,1.2,-1.7,-0.8,6,6,6,6,NA,NA,NA,NA,13/01/2022 08:54,0
13/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.9,1.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,13/01/2022 20:53,0
14/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,3.1,-1.7,-5.2,-2.9,6,6,6,6,NA,NA,NA,NA,14/01/2022 08:54,0
14/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,2.8,-2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,14/01/2022 20:53,0
15/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,-1.6,-3.3,-6,-3.4,6,6,6,6,NA,NA,NA,NA,15/01/2022 08:53,0
15/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,2.1,-1.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,15/01/2022 20:54,0
16/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,3.2,2,-0.4,-0.7,6,6,6,6,NA,NA,NA,NA,16/01/2022 08:53,0
16/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.1,2.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,16/01/2022 20:53,0
17/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,4.5,2.1,-0.1,-0.9,6,6,6,6,NA,NA,NA,NA,17/01/2022 08:54,0
17/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.6,3.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,17/01/2022 20:53,0
18/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,3.4,-0.2,-2,-1.8,6,6,6,6,NA,NA,NA,NA,18/01/2022 08:53,0
18/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,6.2,1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,18/01/2022 20:55,0
19/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5,1.5,-1.5,-1.5,6,6,6,6,NA,NA,NA,NA,19/01/2022 08:54,0
19/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.7,3.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,19/01/2022 20:55,0
20/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,4,0.2,-2.8,-3.5,6,6,6,6,NA,NA,NA,NA,20/01/2022 08:53,0
20/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,4.6,0.3,NA,NA,6,1006,NA,NA,NA,NA,NA,NA,20/01/2022 20:54,0
21/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,1,-0.7,-5.4,-4.5,6,6,6,6,NA,NA,NA,NA,21/01/2022 08:53,0
21/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,7.6,0.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,21/01/2022 20:54,0
